window,match_date,home_team,away_team,league,predicted,actual,correct,confidence,decimal_odds,profit
1,2022-10-19 00:00:00+00:00,Liverpool,West Ham,PL,home_win,home_win,True,0.644,1.4,0.4
1,2022-10-19 00:00:00+00:00,Elche,Real Madrid,PD,away_win,away_win,True,0.669,1.3,0.3
1,2022-10-20 00:00:00+00:00,Barcelona,Villarreal,PD,home_win,home_win,True,0.552,1.5,0.5
1,2022-10-21 00:00:00+00:00,Juventus,Empoli,SA,home_win,home_win,True,0.595,1.4,0.4
1,2022-10-22 00:00:00+00:00,Real Madrid,Sevilla,PD,home_win,home_win,True,0.677,1.36,0.36
1,2022-10-22 00:00:00+00:00,Milan,Monza,SA,home_win,home_win,True,0.686,1.4,0.4
1,2022-10-22 00:00:00+00:00,Man City,Brighton,PL,home_win,home_win,True,0.62,1.2,0.2
1,2022-10-22 00:00:00+00:00,Nott'm Forest,Liverpool,PL,away_win,home_win,False,0.655,1.25,-1.0
1,2022-10-22 00:00:00+00:00,Hoffenheim,Bayern Munich,BL1,away_win,away_win,True,0.58,1.5,0.5
1,2022-10-22 00:00:00+00:00,Dortmund,Stuttgart,BL1,home_win,home_win,True,0.579,1.53,0.53
1,2022-10-23 00:00:00+00:00,Villarreal,Almeria,PD,home_win,home_win,True,0.659,1.36,0.36
1,2022-10-23 00:00:00+00:00,Southampton,Arsenal,PL,away_win,draw,False,0.626,1.57,-1.0
1,2022-10-29 00:00:00+00:00,Valencia,Barcelona,PD,away_win,away_win,True,0.561,1.57,0.57
1,2022-10-29 00:00:00+00:00,Wolfsburg,Bochum,BL1,home_win,home_win,True,0.59,1.65,0.65
1,2022-10-29 00:00:00+00:00,Napoli,Sassuolo,SA,home_win,home_win,True,0.619,1.28,0.28
1,2022-10-29 00:00:00+00:00,Inter,Sampdoria,SA,home_win,home_win,True,0.644,1.25,0.25
1,2022-10-29 00:00:00+00:00,Liverpool,Leeds,PL,home_win,away_win,False,0.552,1.3,-1.0
1,2022-10-29 00:00:00+00:00,Leicester,Man City,PL,away_win,away_win,True,0.576,1.25,0.25
1,2022-10-30 00:00:00+00:00,Real Madrid,Girona,PD,home_win,draw,False,0.66,1.2,-1.0
1,2022-10-30 00:00:00+00:00,Arsenal,Nott'm Forest,PL,home_win,home_win,True,0.68,1.2,0.2
1,2022-10-30 00:00:00+00:00,Cremonese,Udinese,SA,away_win,draw,False,0.577,1.85,-1.0
1,2022-11-05 00:00:00+00:00,Milan,Spezia,SA,home_win,home_win,True,0.631,1.22,0.22
1,2022-11-05 00:00:00+00:00,Werder Bremen,Schalke 04,BL1,home_win,home_win,True,0.582,1.65,0.65
1,2022-11-05 00:00:00+00:00,Hertha,Bayern Munich,BL1,away_win,away_win,True,0.596,1.25,0.25
1,2022-11-05 00:00:00+00:00,Dortmund,Bochum,BL1,home_win,home_win,True,0.67,1.22,0.22
1,2022-11-05 00:00:00+00:00,Augsburg,Ein Frankfurt,BL1,away_win,away_win,True,0.553,1.72,0.72
1,2022-11-05 00:00:00+00:00,Man City,Fulham,PL,home_win,home_win,True,0.672,1.11,0.11
1,2022-11-05 00:00:00+00:00,Barcelona,Almeria,PD,home_win,home_win,True,0.742,1.08,0.08
1,2022-11-06 00:00:00+00:00,Ath Madrid,Espanol,PD,home_win,draw,False,0.684,1.44,-1.0
1,2022-11-07 00:00:00+00:00,Vallecano,Real Madrid,PD,away_win,home_win,False,0.585,1.65,-1.0
1,2022-11-08 00:00:00+00:00,Spezia,Udinese,SA,away_win,draw,False,0.599,1.9,-1.0
1,2022-11-08 00:00:00+00:00,Osasuna,Barcelona,PD,away_win,away_win,True,0.573,1.53,0.53
1,2022-11-08 00:00:00+00:00,Napoli,Empoli,SA,home_win,home_win,True,0.671,1.25,0.25
1,2022-11-08 00:00:00+00:00,Ath Bilbao,Valladolid,PD,home_win,home_win,True,0.693,1.4,0.4
1,2022-11-08 00:00:00+00:00,Bayern Munich,Werder Bremen,BL1,home_win,home_win,True,0.598,1.14,0.14
1,2022-11-08 00:00:00+00:00,Cremonese,Milan,SA,away_win,draw,False,0.592,1.55,-1.0
1,2022-11-09 00:00:00+00:00,Inter,Bologna,SA,home_win,home_win,True,0.657,1.28,0.28
1,2022-11-10 00:00:00+00:00,Real Madrid,Cadiz,PD,home_win,home_win,True,0.722,1.14,0.14
1,2022-11-10 00:00:00+00:00,Verona,Juventus,SA,away_win,away_win,True,0.555,1.66,0.66
1,2022-11-10 00:00:00+00:00,Lazio,Monza,SA,home_win,home_win,True,0.586,1.61,0.61
1,2022-11-12 00:00:00+00:00,Schalke 04,Bayern Munich,BL1,away_win,away_win,True,0.647,1.16,0.16
1,2022-11-12 00:00:00+00:00,Tottenham,Leeds,PL,home_win,home_win,True,0.581,1.65,0.65
1,2022-11-12 00:00:00+00:00,Man City,Brentford,PL,home_win,away_win,False,0.623,1.14,-1.0
1,2022-11-12 00:00:00+00:00,Wolves,Arsenal,PL,away_win,away_win,True,0.613,1.55,0.55
1,2022-11-12 00:00:00+00:00,Liverpool,Southampton,PL,home_win,home_win,True,0.599,1.25,0.25
1,2022-11-13 00:00:00+00:00,Milan,Fiorentina,SA,home_win,home_win,True,0.559,1.7,0.7
1,2022-12-26 00:00:00+00:00,Arsenal,West Ham,PL,home_win,home_win,True,0.61,1.5,0.5
1,2022-12-27 00:00:00+00:00,Chelsea,Bournemouth,PL,home_win,home_win,True,0.584,1.3,0.3
1,2022-12-27 00:00:00+00:00,Man United,Nott'm Forest,PL,home_win,home_win,True,0.63,1.29,0.29
